question_no,answer
1,D
2,D
3,B
4,D
5,E
6,A
7,E
8,A
9,C
10,E
11,C
12,A
13,C
14,B
15,E
16,E
17,C
18,E
19,E
20,B
21,B
22,D
23,C
24,B
25,E
26,A
27,D
28,A
29,C
30,B
31,A
32,B
33,B
34,D
35,D
36,B
37,A
38,E
39,A
40,D
41,C
42,D
43,A
44,A
45,B
46,B
47,E
48,D
49,C
50,B
51,C
52,A
53,A
54,E
55,No exact correct option
56,C
57,A
58,B
59,D
60,D
61,E
62,E
63,B
64,C
65,unknown
66,C
67,B
68,A
69,C
70,B
71,A
72,B
73,E
74,A
75,D
76,A
77,B
78,C
79,unknown
80,A
81,E
82,E
83,A
84,B
85,D
86,D
87,E
88,E
89,B
90,A
91,A
92,E
93,B
94,D
95,B
96,E
97,A
98,B
99,D
100,B
